 if timeinsidearoom timeinsidebathroom is more than 30  then alarms alarms  alarm ,0
 if currentweather weathericon is sun  then reminders reminders  the sun is shining please go outside ,1
 if relativeposition typeofproximity is inside  if relativeposition pointofinterest is bathroom  then bathroom alllight  turn on or off ,2
 if physiological steps is less then 5000  then reminders reminders  exercises on the treadmill ,3
 when livingroom lightlevel is lowlight  then livingroom hue color light living room  change light color ,4
 if greatluminaire state is off  then kitchen hue color light kitchen  customlightcolor ,5
 when datetime localtime is 1522  then reminders reminders  you havent played with kwido in a long time try playing a game ,6
 when datetime localtime is 1452  then reminders reminders  remember to take aspirin  then livingroom hue color light living room  change light color ,7
 if cognitive trainingtime is 30  then alarms alarms  you can stop doing the exercises ,8
 if activity medicationname is dobetin and lampard  then alarms alarms  dobetin and lampard  ,9
 if activity medicationname is cardicor   then alarms alarms  take the evening cardicor  ,10
 if activity medicationname is provisacor  then alarms alarms  take the evening provisacor  ,11
 if activity medicationname is tardifer lunch  then alarms alarms  take tardifer  ,12
 if activity medicationname is duoplavin lunch  then alarms alarms  duoplavin lunch ,13
 if activity medicationname is ganfort eye drops  then alarms alarms  ganfort eye drops evening ,14
 if activity medicationname is trusopt eye drops evening  then alarms alarms  trusopt eye drops evening ,15
 if activity medicationname is trusopt lunch  then alarms alarms  trusopt eye drops lunch ,16
 if activity medicationname is trusopt eye drops  then alarms alarms  take trusopt drops morning ,17
 if activity medicationname is zoloft  then alarms alarms  take zoloft ,18
 if activity medicationname is lansoprazolo  then alarms alarms  take lansoprazolo ,19
 if activity medicationname is eucreas evening  then alarms alarms  take evening eucreas  ,20
 if activity medicationname is eucreas lunch  then alarms alarms  take eucreas lunch ,21
 when activity medicationname is eucreas  then alarms alarms  take morning eucreas  ,22
 if greatluminaire state notequal off  if datetime localtime is 1337  then reminders reminders  turn off the great luminarie ,23
 if greatluminaire state notequal off  then reminders reminders  turn off the great luminarie ,24
 when livingroom lightlevel is lowlight  then livingroom hue color light living room  change light color ,25
 if physiological steps is less then 5000  then reminders reminders  exercises on the treadmill ,26
 when relativeposition typeofproximity is outside  when relativeposition pointofinterest is house  if datetime localtime is more than 2100  if datetime localtime is less then 2200  then alarms alarms  user 2 is away from home late at night ,27
 if cognitive trainingtime is less then 1  then alarms alarms  keep practicing ,28
 if medication intaketime notequal 1500  then alarms alarms  take the 3 oclock pill ,29
 when activity medicationname is aprovelcoaprovel  then alarms alarms  aprovelcoaprovel  ,30
 when activity medicationname is ibustrin 200 mg 1cp die  then alarms alarms  ibustrin 200 mg 1cpdie ,31
 when activity medicationname is norvasc 5mg 1cpdie  then alarms alarms  norvasc 5 mg 1cpdie ,32
 when activity medicationname is tenormin 14 cpdie  then alarms alarms  tenormin 14 pill ,33
 when activity medicationname is pantorc  then alarms alarms  remember to take the pantorc ,34
 when activity medicationname is aplactin 20 mg 1cpdie  then alarms alarms  aplactin 20 mg 1cpdie ,35
 if cognitive trainingtime is less then 20  then reminders reminders  do some more exercise ,36
 if activity medicationname is aspirine  then reminders reminders  aspirine taken ,37
 when activity medicationname is aspirine  then alarms alarms  marco did not take the aspirine ,38
 when bedroom lightlevel is nolight  then bedroom biorhythmlight  start light scene ,39
 when datetime localtime is 1825  if physiological steps is less then 5000  then reminders reminders  go outside to have a walk ,40
 when timeinsidearoom timeinsidebathroom is more than 2  then alarms alarms  marco is in the bathroom for more than 1 hour ,41
 when relativeposition typeofproximity is inside  when relativeposition pointofinterest is bedroom  then bedroom relax  start light scene ,42
 when bedroom motion is true  if datetime localtime between 1755  if datetime localtime is less then 1800  then corridor light strip corridor  change light color ,43
 when datetime localtime is 1752  then reminders reminders  remember to take the aspirine ,44
 when cognitive vocalemotionalstate is happy  then livingroom hue color light living room  change light color ,45
 if physical layingdown is true  then alarms alarms  man down alarm ,46
 when datetime localtime is 2200  then reminders reminders  reminder drink a glass of water ,47
 when datetime localtime is 1600  then reminders reminders  reminder drink a glass of water ,48
 when datetime localtime is 1100  then reminders reminders  reminder drink a glass of water ,49
 when datetime localtime is 0900  then reminders reminders  reminder eye drops and therapy ,50
 when relativeposition typeofproximity is inside  when relativeposition pointofinterest is livingroom  if datetime localtime is more than 0930  then livingroom greatluminare  customgreatluminare ,51
 when relativeposition typeofproximity is inside  when relativeposition pointofinterest is livingroom  when datetime localtime is more than 2200  then livingroom relax  start light scene ,52
 if cognitive lastconnectiontime is more than 48  then reminders reminders  please do exercises on the tablet ,53
 when datetime localtime is 2200  then reminders reminders  reminder drink a glass of water ,54
 when datetime localtime is 1600  then reminders reminders  reminder drink a glass of water ,55
 when datetime localtime is 1100  then reminders reminders  reminder drink a glass of water ,56
 when datetime localtime is 0900  then reminders reminders  reminder eye drops and therapy ,57
 when relativeposition typeofproximity is inside  when relativeposition pointofinterest is livingroom  when datetime localtime is more than 2200  then livingroom relax  start light scene ,58
 when cognitive lastconnectiontime is 48  then reminders reminders  please do exercises on the tablet ,59
 when livingroom motion is true  if livingroom lightlevel is verylowlight  then livingroom greatluminare  customgreatluminare ,60
 when bedroom motion is true  then livingroom hue color light living room  change light color ,61
 when bedroom motion is true  then bedroom activate  start light scene ,62
 when twentyfourhoursweatherforecast rain is true  then alarms alarms  tomorrow is likely to rain ,63
 when physiological steps is less then 6000  then reminders reminders  remind to walk more for a healthier lifestyle ,64
 if relativeposition typeofproximity is inside  if relativeposition pointofinterest is livingroom  when datetime localtime is 2200  then livingroom relax  start light scene ,65
 when timeinsidearoom timeinsidebathroom is more than 30  then alarms alarms  marco is in the bathroom for more than 1 hour ,66
 when bedroom lightlevel is nolight  then bedroom biorhythmlight  start light scene ,67
 when physiological steps is less then 6000  then reminders reminders  remind to walk more for a healthier lifestyle ,68
 when bedroom motion is true  if datetime localtime is more than 2200  if datetime localtime is less then 2359  if datetime localtime is 0230  if datetime localtime is 0600  then bathroom hue color light bathroom  change light color ,69
 when datetime localtime is 0800  then reminders reminders  please measure blood sugar ,70
 when datetime localtime is 0800  then reminders reminders  please measure blood sugar ,71
 if cognitive emotionalstate is discouraged  then alarms alarms  emotional status discouraged ,72
 if cognitive cognitivestate is mildcognitiveimpairment  then alarms alarms  mild cognitive status ,73
 when cognitive emotionalstate is sad  then livingroom activate  start light scene ,74
 if cognitive lastconnectiontime is more than 48  then alarms alarms  your last connection was more than 48 hours ago lets play ,75
 if activity medicationname is aspirine  then reminders reminders  aspirine taken ,76
 if cognitive emotionalstate is discouraged  then alarms alarms  emotional status discouraged ,77
 if cognitive cognitivestate is mildcognitiveimpairment  then alarms alarms  mild cognitive status ,78
 when cognitive emotionalstate is sad  then livingroom activate  start light scene ,79
 if cognitive lastconnectiontime is more than 48  then alarms alarms  your last connection was more than 48 hours ago lets play ,80
 when vocalinput vocalstring is turnonlightinlivingroomscenerelaxing  then livingroom relax  start light scene ,81
 if twentyfourhoursweatherforecast rain is true  then reminders reminders  tomorrow will rain ,82
 when sleep sleepduration is less then 60  then alarms alarms  youre getting too little sleep ,83
 when kitchen gassensor is true  when kitchen smokesensor is true  then alarms alarms  gas or smoke detected in the kitchen ,84
 when cognitive lastconnectiontime is more than 48  when cognitive trainingtime is less then 15  then reminders reminders  remember to train more ,85
 if relativeposition typeofproximity is inside  if relativeposition pointofinterest is house  if livingroom lightlevel is lowlight  then livingroom biorhythmlight  start light scene ,86
 if datetime localtime is more than 2100  if datetime localtime is less then 2300  then livingroom relax  start light scene ,87
 when cognitive emotionalstate is sad  then reminders reminders  elderly is sad call herhim ,88
 if relativeposition typeofproximity is inside  if relativeposition pointofinterest is bedroom  if datetime localtime is more than 2300  if datetime localtime is less then 0600  then bedroom alllight  turn on or off ,89
 when datetime localtime is 2100  then reminders reminders  remember to charge your smart devices ,90
 when relativeposition typeofproximity is outside  when relativeposition pointofinterest is house  then all alllight  turn on or off ,91
 when relativeposition typeofproximity is inside  when relativeposition pointofinterest is house  then entrance hue color light entrance  change light color ,92
 if relativeposition typeofproximity is inside  if relativeposition pointofinterest is livingroom  if livingroom lightlevel is lowlight  then livingroom hue color light living room  change light color ,93
 when timeinsidearoom timeinsidebathroom is 20  if datetime localtime is more than 2200  if datetime localtime is less then 0700  then alarms alarms  the elder has been in the bathroom for 20 minutes he may have fallen ,94
 when relativeposition typeofproximity is outside  when relativeposition pointofinterest is kitchen  if kitchenlight state is on  then kitchen hue color light kitchen  change light color ,95
 when cognitive lastconnectiontime is 72  then alarms alarms  more than 72 hours since the last connection to the kwido application ,96
 if bedroom motion is true  then bedroom activate  start light scene ,97
